tweet_id,username,timestamp,planet_category,planet_type,tweet_text,likes,retweets,replies,sentiment_score,toxicity_score,keywords
tw_000001,ultra_eye4462,2023-12-10 12:26:48,Religious Extremism,polarizing,"Our evil is not hate — it's scripture. Wake up, sinners.",13099,7550,1163,-0.616,0.834,"scripture, sinners, evil, hate, wake"
tw_000002,plain_mind9000,2022-10-18 22:57:59,Hyper-Partisan Populism,polarizing,"If you still trust the system, you're part of the problem. corrupt",572,6830,460,-0.854,0.638,"corrupt, trust, system, youre, problem"
tw_000003,ultra_fighter6899,2023-01-14 23:41:30,Gender Essentialism Extremism,polarizing,traditional roles: this is what happens when truth replaces common sense.,11299,5251,2414,-0.577,0.731,"traditional, roles, happens, truth, replaces, common"
tw_000004,ultra_seeker6308,2022-01-18 08:24:05,Gender Essentialism Extremism,polarizing,Standing up for grooming in the age of common sense takes real courage.,10302,3452,2598,-0.91,0.781,"grooming, standing, age, common, sense, takes"
tw_000005,the_pulse6360,2023-11-30 21:34:29,Hyper-Partisan Populism,polarizing,Stop trusting the establishment. elites is all that matters now.,12802,230,750,-0.613,0.96,"establishment, elites, trusting, matters"
tw_000006,plain_voice4380,2022-06-20 17:05:28,Bridge Planet,integrative,Democracy requires that we tolerate people we profoundly disagree with.,14324,5520,3872,0.226,0.126,"democracy, requires, tolerate, profoundly, disagree"
tw_000007,real_voice3496,2023-08-30 17:47:51,Bridge Planet,integrative,Dehumanizing language makes violence feel okay. Let's choose different words.,9117,601,4231,0.301,0.102,"dehumanizing, language, makes, violence, feel, okay"
tw_000008,just_pulse4174,2024-02-28 08:55:37,Religious Extremism,polarizing,They mock faith and call it progress. They will be judged.,114,5789,2428,-0.623,0.902,"faith, mock, progress, judged"
tw_000009,watcher3698,2022-03-23 07:39:46,Gender Essentialism Extremism,polarizing,Children cannot consent to child abuse. Protect delusion. Period.,1230,6118,763,-0.692,0.594,"delusion, children, cannot, consent, child, abuse"
tw_000010,plain_pulse3221,2024-06-25 06:26:41,Religious Extremism,polarizing,sinners demands we oppose the corruption. No compromise.,510,81,1388,-0.628,0.777,"sinners, demands, oppose, corruption, compromise"
tw_000011,official_seeker2576,2023-03-20 17:46:25,Hyper-Partisan Populism,polarizing,Stop trusting the government. sheeple is all that matters now.,9215,2004,1044,-0.471,0.695,"sheeple, trusting, government, matters"
tw_000012,ultra_fighter1101,2023-04-09 12:05:51,Hyper-Partisan Populism,polarizing,The government doesn't want you to know about rigged. SHARE THIS.,14229,480,2848,-0.467,0.933,"rigged, government, doesnt, share"
tw_000013,just_mind1220,2022-12-21 23:46:59,Hyper-Partisan Populism,polarizing,"If you still trust the government, you're part of the problem. sheeple",10907,5211,1695,-0.578,0.453,"sheeple, trust, government, youre, problem"
tw_000014,the_thinker6458,2022-04-24 22:34:15,Bridge Planet,integrative,I'm tired of being told who to hate. I'd rather learn who to understand.,4770,4366,3601,0.205,0.146,"tired, told, hate, rather, learn, understand"
tw_000015,truth_voice8398,2022-09-23 05:48:50,Bridge Planet,integrative,What if the person you hate most online is just... scared too? #Perspective,8948,9005,4521,0.448,0.068,"person, hate, online, scared, perspective"
tw_000016,ultra_eye3422,2023-05-22 20:36:47,Hyper-Partisan Populism,polarizing,The propaganda machine is laughing at you. deep state is the only truth left.,11322,1230,1631,-0.977,0.676,"deep state, propaganda, machine, laughing, deep, state"
tw_000017,ultra_patriot9512,2023-11-22 11:23:33,Ethnonationalism,polarizing,Our blood is being diluted by invasion. Fight back. #Borders,698,7439,1452,-0.23,0.703,"blood, invasion, borders, diluted, fight"
tw_000018,the_fighter1591,2022-06-16 04:05:56,Religious Extremism,polarizing,Those who reject heretics will face divine corruption. #Truth,3654,5363,2204,-0.392,0.472,"heretics, divine, reject, face, corruption, truth"
tw_000019,plain_pulse5701,2023-08-12 20:22:52,Bridge Planet,integrative,Ask why before you assume. Ask who benefits from your outrage. #CriticalThinking,10456,1906,4461,0.699,0.198,"ask, assume, benefits, outrage, criticalthinking"
tw_000020,the_watcher1624,2022-04-11 04:58:25,Hyper-Partisan Populism,polarizing,sheeple: every institution is mainstream. Only WE can stop it.,5061,6527,1401,-0.88,0.962,"sheeple, mainstream, institution"
tw_000021,plain_fighter6949,2023-01-20 11:55:03,Ethnonationalism,polarizing,Stand up for your invaders before it's too late. #NativesFirst,7546,2835,635,-0.779,0.956,"invaders, stand, late, nativesfirst"
tw_000022,voice3967,2023-02-27 07:32:05,Hyper-Partisan Populism,polarizing,elites! They stole this from us and nobody cares??,12220,5593,2788,-0.777,0.716,"elites, stole, nobody, cares"
tw_000023,pulse2526,2022-08-29 01:33:42,Gender Essentialism Extremism,polarizing,trans agenda used to be common sense. Now it's called erasure. Insane.,12568,3179,1393,-0.993,0.914,"trans agenda, erasure, trans, agenda, common, sense"
tw_000024,just_patriot4881,2022-08-19 22:02:35,Hyper-Partisan Populism,polarizing,"corrupt is not a conspiracy, it's reality. Open your eyes. #WakeUp",6638,3492,1067,-0.484,0.709,"corrupt, conspiracy, reality, open, eyes, wakeup"
tw_000025,real_thinker9851,2023-07-16 13:35:23,Gender Essentialism Extremism,polarizing,Denying destroy the family doesn't make it disappear. propaganda is real.,5856,4920,45,-0.305,0.602,"propaganda, denying, destroy, family, doesnt, disappear"
tw_000026,the_patriot2529,2022-02-11 17:33:35,Hyper-Partisan Populism,polarizing,rigged: every institution is system. Only WE can stop it.,9053,6393,1398,-0.634,0.723,"rigged, institution, system"
tw_000027,plain_fighter7827,2022-12-23 21:58:30,Hyper-Partisan Populism,polarizing,The stolen controls everything. Your vote means nothing. #Corrupt,187,6395,2552,-0.447,0.952,"stolen, corrupt, controls, vote, means"
tw_000028,just_patriot683,2023-06-02 01:09:15,Religious Extremism,polarizing,This nation must return to sinners or face God's sin.,8786,1698,1535,-0.848,0.643,"sinners, nation, must, return, face, gods"
tw_000029,ultra_thinker5135,2024-02-13 18:45:10,Gender Essentialism Extremism,polarizing,"biology is not hate, it's reality. You can't change facts.",9938,2309,572,-0.603,0.65,"biology, hate, reality, cant, change, facts"
tw_000030,the_seeker9641,2023-10-31 03:30:00,Ethnonationalism,polarizing,Stand up for your blood before it's too late. #NativesFirst,13917,1926,1173,-0.805,0.884,"blood, stand, late, nativesfirst"
tw_000031,just_watcher6689,2022-11-28 16:22:01,Ethnonationalism,polarizing,Stand up for your invaders before it's too late. #NativesFirst,6436,1157,1926,-0.913,0.802,"invaders, stand, late, nativesfirst"
tw_000032,truth_seeker1074,2023-04-04 12:01:51,Ethnonationalism,polarizing,The great agenda is happening right now. Defend your pure!,11894,1399,2136,-0.543,0.812,"great, agenda, happening, defend, pure"
tw_000033,citizen6900,2022-08-09 08:57:49,Bridge Planet,integrative,Ask why before you assume. Ask who benefits from your outrage. #CriticalThinking,20842,3387,4008,0.625,0.111,"ask, assume, benefits, outrage, criticalthinking"
tw_000034,just_patriot6412,2022-01-28 15:19:01,Hyper-Partisan Populism,polarizing,The establishment doesn't want you to know about elites. SHARE THIS.,3688,4731,1047,-0.385,0.938,"establishment, elites, doesnt, share"
tw_000035,official_eye8127,2022-09-17 17:03:59,Religious Extremism,polarizing,Stand with punishment or stand with the wrath. Choose wisely.,8964,6617,280,-0.621,0.453,"punishment, wrath, stand, choose, wisely"
tw_000036,plain_mind1006,2022-05-15 15:27:49,Bridge Planet,integrative,Polarization profits the powerful. Unity threatens them. Think about it.,10176,7041,3941,0.701,0.012,"unity, polarization, profits, powerful, threatens"
tw_000037,plain_pulse7699,2023-07-17 08:47:41,Religious Extremism,polarizing,sin is a plague sent to test our blasphemy. Stay pure.,7808,7790,1721,-0.285,0.856,"blasphemy, sin, plague, sent, test, stay"
tw_000038,thinker2852,2022-12-25 08:58:05,Hyper-Partisan Populism,polarizing,The propaganda machine doesn't want you to know about elites. SHARE THIS.,14840,2083,502,-0.574,0.781,"propaganda, elites, machine, doesnt, share"
tw_000039,just_eye8482,2024-03-09 21:15:43,Eco-Authoritarianism,polarizing,"plague = planet killer. population control isn't extreme, it's survival.",14021,6724,2589,-0.381,0.914,"population control, plague, planet, killer, population, control"
tw_000040,the_thinker324,2023-01-26 16:08:13,Hyper-Partisan Populism,polarizing,sheeple: every institution is propaganda machine. Only WE can stop it.,7567,3530,1557,-0.253,0.882,"sheeple, propaganda, institution, machine"
tw_000041,truth_citizen1344,2023-10-25 23:36:24,Gender Essentialism Extremism,polarizing,grooming used to be common sense. Now it's called fact. Insane.,1658,7313,2654,-0.287,0.677,"grooming, common, sense, called, fact, insane"
tw_000042,voice5429,2024-05-30 19:19:13,Gender Essentialism Extremism,polarizing,They're pushing indoctrination on children. This is child abuse. #Protect,701,1563,1086,-0.945,0.574,"indoctrination, theyre, pushing, children, child, abuse"
tw_000043,real_seeker542,2023-01-15 10:49:08,Religious Extremism,polarizing,Those who reject infidels will face divine corruption. #Truth,5783,2578,2863,-0.824,0.558,"infidels, divine, reject, face, corruption, truth"
tw_000044,plain_thinker9497,2024-06-22 03:03:38,Bridge Planet,integrative,The algorithm rewards anger. Choose connection instead. #DigitalWellbeing,6945,1378,2516,0.682,0.15,"algorithm, rewards, anger, choose, connection, instead"
tw_000045,eye5831,2023-05-07 14:38:02,Hyper-Partisan Populism,polarizing,The rigged controls everything. Your vote means nothing. #Corrupt,3928,6408,1465,-0.662,0.596,"rigged, corrupt, controls, vote, means"
tw_000046,just_pulse9805,2024-03-14 16:50:12,Bridge Planet,integrative,Fear of the 'other' is manufactured. Connection is chosen. Choose connection.,5393,4589,1116,0.757,0.088,"fear, manufactured, connection, chosen, choose"
tw_000047,seeker3760,2023-06-29 12:15:04,Ethnonationalism,polarizing,My heritage is not negotiable. enemy out of our lands.,9650,6591,2853,-0.539,0.68,"heritage, negotiable, enemy, lands"
tw_000048,truth_pulse1312,2023-03-11 01:32:47,Ethnonationalism,polarizing,My borders is not negotiable. threat out of our lands.,7617,4234,320,-0.581,0.779,"borders, negotiable, threat, lands"
tw_000049,just_patriot6875,2022-03-07 14:44:13,Gender Essentialism Extremism,polarizing,Denying trans agenda doesn't make it disappear. common sense is real.,12066,5470,1020,-0.949,0.461,"trans agenda, denying, trans, agenda, doesnt, disappear"
tw_000050,just_eye2780,2023-03-01 11:53:31,Hyper-Partisan Populism,polarizing,They call us extremists for believing in revolution. Enough. #establishment,7486,7989,1325,-0.472,0.827,"revolution, establishment, extremists, believing, enough"
tw_000051,real_mind942,2023-02-23 12:40:33,Gender Essentialism Extremism,polarizing,They're pushing trans agenda on children. This is erasure. #Protect,10041,6331,2270,-0.514,0.457,"trans agenda, erasure, theyre, pushing, trans, agenda"
tw_000052,citizen7866,2023-02-22 08:21:48,Gender Essentialism Extremism,polarizing,trans agenda: this is what happens when reality replaces common sense.,6454,3856,957,-0.835,0.768,"trans agenda, trans, agenda, happens, reality, replaces"
tw_000053,real_citizen2170,2023-10-13 10:04:06,Religious Extremism,polarizing,The evil is a sin against punishment. God sees all.,5286,2919,1305,-0.414,0.82,"punishment, evil, sin, against, god, sees"
tw_000054,citizen6933,2023-10-02 23:43:01,Bridge Planet,integrative,Ask why before you assume. Ask who benefits from your outrage. #CriticalThinking,4574,11038,2589,0.509,0.076,"ask, assume, benefits, outrage, criticalthinking"
tw_000055,official_voice6222,2024-05-03 15:26:15,Hyper-Partisan Populism,polarizing,The establishment doesn't want you to know about real people. SHARE THIS.,1571,2988,223,-0.919,0.586,"establishment, doesnt, share"
tw_000056,real_voice8116,2024-02-20 06:46:16,Ethnonationalism,polarizing,agenda is destroying everything our ancestors built. #Heritage,9669,2719,411,-0.301,0.688,"heritage, agenda, destroying, ancestors, built"
tw_000057,ultra_seeker6797,2022-02-04 05:43:29,Hyper-Partisan Populism,polarizing,wake up! They stole this from us and nobody cares??,14576,1123,2606,-0.94,0.943,"wake up, wake, stole, nobody, cares"
tw_000058,real_eye3095,2022-12-15 06:30:23,Ethnonationalism,polarizing,enemy is destroying everything our ancestors built. #Heritage,2270,4994,2539,-0.597,0.493,"heritage, enemy, destroying, ancestors, built"
tw_000059,official_voice7510,2023-12-21 23:21:21,Bridge Planet,integrative,What would happen if we listened twice as much as we spoke online? #Kindness,23749,5288,981,0.937,0.147,"kindness, happen, listened, twice, spoke, online"
tw_000060,just_seeker5933,2022-08-03 18:25:19,Gender Essentialism Extremism,polarizing,Children cannot consent to child abuse. Protect real women. Period.,11309,1543,2356,-0.453,0.718,"children, cannot, consent, child, abuse, protect"
tw_000061,ultra_seeker7850,2024-05-03 21:21:28,Bridge Planet,integrative,I don't need you to be like me. I need you to see me. #Inclusion,12369,7286,3197,0.572,0.14,"dont, inclusion"
tw_000062,official_mind4052,2024-06-03 09:53:04,Gender Essentialism Extremism,polarizing,The common sense agenda wants to erase grooming. Not on our watch.,10981,4384,1033,-0.882,0.977,"grooming, common, sense, agenda, wants, erase"
tw_000063,truth_thinker2526,2023-06-16 07:38:39,Religious Extremism,polarizing,They mock God's will and call it progress. They will be judged.,1734,3587,1115,-0.944,0.774,"mock, gods, progress, judged"
tw_000064,just_patriot184,2024-03-03 13:29:11,Ethnonationalism,polarizing,The great enemy is happening right now. Defend your native!,12912,99,461,-0.58,0.594,"native, great, enemy, happening, defend"
tw_000065,the_voice7051,2022-04-14 16:44:37,Religious Extremism,polarizing,"Our corruption is not hate — it's faith. Wake up, sinners.",7818,6848,1167,-0.482,0.46,"faith, sinners, corruption, hate, wake"
tw_000066,just_watcher9205,2022-12-19 15:17:52,Ethnonationalism,polarizing,The great globalism is happening right now. Defend your borders!,13282,5290,576,-0.362,0.732,"globalism, borders, great, happening, defend"
tw_000067,real_patriot4528,2023-04-20 08:16:26,Bridge Planet,integrative,"Your pain is real. So is theirs. That's a starting point, not an ending. #Humanity",13603,7486,2348,0.621,0.186,"pain, theirs, thats, starting, point, ending"
tw_000068,plain_citizen2167,2023-03-07 16:38:49,Eco-Authoritarianism,polarizing,No rights for cancer destroyers. degrowth above human comfort.,11471,2888,2783,-0.644,0.73,"degrowth, rights, cancer, destroyers, above, human"
tw_000069,plain_mind1597,2022-08-27 20:58:12,Bridge Planet,integrative,"Strong communities are built on trust, not fear. Let's build together.",23165,9978,3438,0.659,0.045,"trust, strong, communities, built, fear, lets"
tw_000070,real_citizen60,2023-08-05 08:06:14,Bridge Planet,integrative,"Strong communities are built on trust, not fear. Let's build together.",19927,1920,4716,0.778,0.09,"trust, strong, communities, built, fear, lets"
tw_000071,just_fighter2428,2023-01-02 20:42:31,Bridge Planet,integrative,"Strong communities are built on trust, not fear. Let's build together.",18394,10588,2106,0.339,0.18,"trust, strong, communities, built, fear, lets"
tw_000072,plain_eye3359,2022-12-28 02:34:52,Gender Essentialism Extremism,polarizing,Denying trans agenda doesn't make it disappear. propaganda is real.,4125,5523,327,-0.223,0.886,"trans agenda, propaganda, denying, trans, agenda, doesnt"
tw_000073,the_mind177,2022-09-10 12:12:24,Gender Essentialism Extremism,polarizing,biology: this is what happens when child abuse replaces common sense.,1105,7510,2348,-0.836,0.616,"biology, happens, child, abuse, replaces, common"
